created_date,job_title,job_title,min_salary,max_salary,salary_unit,city,district
2023-08-01,Senior Business Analyst,Senior Business Analyst,1000.0,2000.0,USD,Hà Nội,Cầu Giấy
2023-08-01,Business Analyst,Business Analyst,,,VND,Hà Nội,Thanh Xuân
2023-08-01,Chuyên Viên Vận Hành Cloud (Lương Upto 60Tr),Chuyên Viên Vận Hành Cloud (Lương Upto 60Tr),30.0,60.0,VND,Nước Ngoài: Hà Nội: Nam Từ Liêm,
2023-08-01,Nhân Viên Triển Khai Chuyển Giao Phần Mềm,Nhân Viên Triển Khai Chuyển Giao Phần Mềm,,,VND,Hà Nội,Chương Mỹ
2023-08-01,Nhân Viên Lập Trình (Lương Cứng Từ 10 - 12 Triệu + Thưởng Dự Án),Nhân Viên Lập Trình (Lương Cứng Từ 10 - 12 Triệu + Thưởng Dự Án),10.0,15.0,VND,Hồ Chí Minh,
2023-08-01,Business Analyses For Product Team,Business Analyses For Product Team,30.0,,VND,Hồ Chí Minh,Quận 2
2023-08-01,Thực Tập Sinh Business Analyst,Thực Tập Sinh Business Analyst,3.0,,VND,Hồ Chí Minh,Quận 4
2023-08-01,IT Comtor Tiếng Nhật ( Từ 1 Năm Kinh Nghiệm),IT Comtor Tiếng Nhật ( Từ 1 Năm Kinh Nghiệm),25.0,,VND,Hà Nội,Nam Từ Liêm
2023-08-01,Thực Tập Sinh Lập Trình Viên JavaScript.,Thực Tập Sinh Lập Trình Viên JavaScript.,,,VND,Hà Nội,Đống Đa
2023-08-01,Thực Tập Sinh Lập Trình Viên PHP,Thực Tập Sinh Lập Trình Viên PHP,,,VND,Hà Nội,Đống Đa
2023-08-01,Lập Trình Viên IOS 700$ - 1100$,Lập Trình Viên IOS 700$ - 1100$,700.0,1100.0,USD,Hà Nội,Cầu Giấy
2023-08-01,Kỹ Sư Cầu Nối - Brigde Software Engineer,Kỹ Sư Cầu Nối - Brigde Software Engineer,1000.0,3000.0,USD,Thừa Thiên Huế: TP Huế: Hà Nội: Cầu Giấy,
2023-08-01,Lập Trình Viên Android 700$ - 1100$,Lập Trình Viên Android 700$ - 1100$,700.0,1100.0,USD,Hà Nội,Cầu Giấy
2023-08-01,Process QA For Hardware,Process QA For Hardware,20.0,30.0,VND,Hà Nội,Đống Đa
2023-08-01,"Business Analyst (2+ Năm Kinh Nghiệm, Topik 5 Trở Lên) - Onsite 3 Đến 6 Tháng Hàn Quốc - Lương Up To 35M Gross","Business Analyst (2+ Năm Kinh Nghiệm, Topik 5 Trở Lên) - Onsite 3 Đến 6 Tháng Hàn Quốc - Lương Up To 35M Gross",35.0,,VND,Hà Nội,Từ Liêm
2023-08-01,"Brse Engineer (2+ Năm Kinh Nghiệm, Topik 5 Trở Lên) - Onsite 3 Đến 6 Tháng Hàn Quốc_Lương Up To 35M Gross","Brse Engineer (2+ Năm Kinh Nghiệm, Topik 5 Trở Lên) - Onsite 3 Đến 6 Tháng Hàn Quốc_Lương Up To 35M Gross",35.0,,VND,Hà Nội,Từ Liêm
2023-08-01,Business Analyst Lead (Firmware/Software Documentation),Business Analyst Lead (Firmware/Software Documentation),30.0,50.0,VND,Hà Nội,Đống Đa
2023-08-01,Process QA For Software,Process QA For Software,20.0,35.0,VND,Hà Nội,Đống Đa
2023-08-01,Middle Content Writer,Middle Content Writer,1000.0,,USD,Hồ Chí Minh,Quận 2
2023-08-01,Senior Flutter Mobile/ Lập Trình Viên Di Động Lĩnh Vực E-Learning (Up To 40M),Senior Flutter Mobile/ Lập Trình Viên Di Động Lĩnh Vực E-Learning (Up To 40M),40.0,,VND,Hà Nội,Hai Bà Trưng
2023-08-01,Android Developer (Java/ Kotlin),Software Engineer,30.0,,VND,Hồ Chí Minh,Quận 1
2023-08-01,Chuyên Viên Tester,Chuyên Viên Tester,18.0,,VND,Hà Nội,Cầu Giấy
2023-08-01,Security Solution Architect - Salary Up To $3000,Security Solution Architect - Salary Up To $3000,,,VND,Hà Nội,Cầu Giấy
2023-08-01,Android Developer,Software Engineer,2000.0,,USD,Hà Nội,Tây Hồ
2023-08-01,Delivery Manager (N1/N2),Delivery Manager (N1/N2),,,VND,Hồ Chí Minh,Bình Thạnh
2023-08-01,Experience Business Analyst - Up To 40M,Experience Business Analyst - Up To 40M,20.0,40.0,VND,Hà Nội,Thanh Xuân
2023-08-01,"Lập Trình Viên Web (Html5, Css3, JavaScript, PHP)","Lập Trình Viên Web (Html5, Css3, JavaScript, PHP)",15.0,25.0,VND,Hà Nội,Thanh Xuân
2023-08-01,Lập Trình Viên IOS,Lập Trình Viên IOS,1200.0,,USD,Hà Nội,Cầu Giấy
2023-08-01,Nhân Viên IT,Nhân Viên IT,8.0,,VND,Hồ Chí Minh,Quận 3
2023-08-01,Fullstack Mobile Developer (Flutter + IOS/Android),Software Engineer,16.0,,VND,Hồ Chí Minh,Quận 12
2023-08-01,Fresher Fullstack Developer,Software Engineer,,,VND,Hồ Chí Minh,Gò Vấp
2023-08-01,Chuyên Viên IT Phần Mềm,Chuyên Viên IT Phần Mềm,12.0,,VND,Đà Nẵng,Sơn Trà
2023-08-01,Kỹ Thuật Hệ Thống-System Engineer,Kỹ Thuật Hệ Thống-System Engineer,15.0,25.0,VND,Hồ Chí Minh,Quận 7
2023-08-01,Backend Senior,Backend Senior,,,VND,Hà Nội,Cầu Giấy
2023-08-01,Game Engineer (Unity),Game Engineer (Unity),,,VND,Hà Nội,Thanh Xuân
2023-08-01,PHP Developer (1200$ - 1800$),Software Engineer,1200.0,1800.0,USD,Hà Nội,Cầu Giấy
2023-08-01,Chuyên Viên Quản Trị Dữ Liệu Oracle (Dba) - HN,Chuyên Viên Quản Trị Dữ Liệu Oracle (Dba) - HN,,,VND,Hà Nội,Nam Từ Liêm
2023-08-01,"Web Developer (JavaScript, Design)",Software Engineer,,,VND,Hồ Chí Minh,Phú Nhuận
2023-08-01,Lập Trình Viên Python,Lập Trình Viên Python,15.0,22.0,VND,Hà Nội,Thanh Xuân
2023-08-01,Thực Tập Sinh Tiếng Hàn,Thực Tập Sinh Tiếng Hàn,3.0,,VND,Hà Nội,Cầu Giấy
2023-08-01,Nhân Viên Game Design,Nhân Viên Game Design,,,VND,Hồ Chí Minh,Quận 10
2023-08-01,Fresher Android,Fresher Android,7.0,10.0,VND,Hà Nội,Thanh Xuân
2023-08-01,Frontend Web Developer (Reactjs/ Redux/ Gatsby JS) Tại Cần Thơ,Software Engineer,15.0,25.0,VND,Cần Thơ,Cái Răng
2023-08-01,Database Administrator (Dba),Database Administrator (Dba),30.0,,VND,Hà Nội,Tây Hồ
2023-08-01,Business Analyst (Japanese) - Salary Up To $2000,Business Analyst (Japanese) - Salary Up To $2000,,,VND,Đà Nẵng,Ngũ Hành Sơn
2023-08-01,"Fullstack Developer (Nodejs,Reactjs)",Software Engineer,,,VND,Hà Nội,Đống Đa
